
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006271                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       19576388                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.560810                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                   4                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.000000                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 49877108                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                24943381                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        17876706                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1657575                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   855041                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           819571                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    18648788                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       828789                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                    757550                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1483                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          160555                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        2302886                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        654860                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       307034                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        98850                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies          320                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions         7044                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1               685                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2              6595                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3               216                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1             4508                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2            17216                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3              634                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4                0                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5                0                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6                0                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7                0                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                0                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__1.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__1.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__1.writesPath1                0                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__1.writesPath2                0                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__1.writesPath3                0                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__1.writesPath4                0                       # Number of writes to path table 4. (Count)
