
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006210                       # Number of seconds simulated (Second)
simTicks                                   6209568500                       # Number of ticks simulated (Tick)
finalTick                                  6209568500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.75                       # Real time elapsed on the host (Second)
hostTickRate                                261439433                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     748476                       # Number of bytes of host memory used (Byte)
simInsts                                      8560495                       # Number of instructions simulated (Count)
simOps                                       15647514                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   360419                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     658800                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12419138                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.450750                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.689299                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        20351338                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197152                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19436222                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      3                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4900970                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7302726                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 253                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12261189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.585182                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.918608                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4951784     40.39%     40.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2594363     21.16%     61.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1796947     14.66%     76.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    886415      7.23%     83.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    666478      5.44%     88.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    738108      6.02%     94.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    297073      2.42%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    233687      1.91%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     61598      0.50%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                     27274      0.22%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     6617      0.05%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      584      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                      226      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                       26      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                        8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
