cache_size_kb,energy_joules
16,0.16075265668260003
32,0.15547595106210002
64,0.1511929802712
128,0.14805759259799997
256,0.14948377081199998
512,0.16020853417599998
1024,0.1756974855136
2048,0.2198429002688
